period,regime,signal_date,asset_code,asset_name,entry_date,exit_date,ret,pnl_krw,reason
pre,BULL,2015-04-24,114570,지스마트글로벌,2015-05-06,2015-05-21,0.03633747412008281,3633747.4120082813,TRAIL
pre,BULL,2015-04-27,078940,일경산업개발,2015-05-07,2015-05-12,0.03157446808510638,3157446.8085106383,TRAIL
pre,BULL,2015-04-27,067630,에너지솔루션,2015-05-07,2015-05-14,-0.123,-12300000.0,STOP
pre,BULL,2015-04-29,014130,한익스프레스,2015-05-11,2015-06-08,-0.03143601895734597,-3143601.895734597,TRAIL
pre,BULL,2015-04-30,001360,삼성제약,2015-05-12,2015-06-01,0.3214274809160305,32142748.091603052,TRAIL
pre,SIDEWAYS,2015-05-20,051170,루보,2015-05-29,2015-06-12,0.12350602409638553,12350602.409638554,TRAIL
pre,SIDEWAYS,2015-05-26,065560,큐브스,2015-06-03,2015-06-30,-0.123,-12300000.0,STOP
pre,SIDEWAYS,2015-07-02,005740,크라운제과,2015-07-10,2015-08-18,0.14256962025316455,14256962.025316454,TRAIL
pre,SIDEWAYS,2015-07-13,141080,레고켐바이오,2015-07-21,2015-07-24,-0.063,-6300000.0,EARLY_FAIL_CLOSE
pre,SIDEWAYS,2015-07-15,002630,오리엔트바이오,2015-07-23,2015-07-27,-0.063,-6300000.0,EARLY_FAIL_CLOSE
pre,BEAR,2015-09-11,114120,크루셜텍,2015-09-21,2015-10-14,-0.123,-12300000.0,STOP
pre,BULL,2015-11-04,010470,오리콤,2015-11-12,2015-11-13,0.07427272727272727,7427272.727272727,TRAIL
pre,SIDEWAYS,2015-11-25,078150,HB테크놀러지,2015-12-14,2016-02-16,0.26998050139275764,26998050.139275763,TRAIL
pre,SIDEWAYS,2015-11-26,115530,씨엔플러스,2015-12-04,2015-12-10,-0.123,-12300000.0,STOP
pre,BULL,2016-03-16,160550,NEW,2016-03-24,2016-04-06,-0.123,-12300000.0,STOP
pre,BULL,2016-03-22,145270,케이탑리츠,2016-03-30,2016-04-04,-0.063,-6300000.0,EARLY_FAIL_CLOSE
pre,BULL,2016-03-25,043710,로켓모바일,2016-04-04,2016-04-11,0.21439130434782608,21439130.43478261,TRAIL
pre,BULL,2016-04-15,002620,제일약품,2016-04-25,2016-05-30,0.3751163434903047,37511634.34903047,TRAIL
pre,BULL,2016-04-26,102120,어보브반도체,2016-05-04,2016-05-20,-0.123,-12300000.0,STOP
pre,BULL,2016-07-22,191420,테고사이언스,2016-08-01,2016-08-05,-0.06857377049180328,-6857377.049180329,TRAIL
pre,SIDEWAYS,2016-12-12,025820,이구산업,2016-12-20,2017-02-03,0.15268862275449102,15268862.275449103,MAX
pre,BULL,2017-02-23,008700,아남전자,2017-03-06,2017-04-04,1.1008251366120219,110082513.66120219,TRAIL
pre,BULL,2017-02-23,011070,LG이노텍,2017-03-06,2017-04-17,0.045,4500000.0,MAX
pre,BULL,2017-05-11,049950,미래컴퍼니,2017-05-19,2017-06-19,0.32969961977186313,32969961.97718631,TRAIL
pre,BULL,2017-06-08,036000,예림당,2017-06-16,2017-07-03,0.13360062565172054,13360062.565172054,TRAIL
pre,BULL,2017-06-15,048410,현대아이비티,2017-06-23,2017-06-28,-0.063,-6300000.0,EARLY_FAIL_CLOSE
pre,BULL,2017-06-22,048530,인트론바이오,2017-06-30,2017-07-14,-0.123,-12300000.0,STOP
pre,BULL,2017-06-27,121850,코이즈,2017-07-05,2017-07-18,0.029085561497326207,2908556.149732621,TRAIL
pre,SIDEWAYS,2017-07-18,018000,유니슨,2017-07-26,2017-08-09,-0.123,-12300000.0,STOP
pre,BULL,2017-07-26,134780,화진,2017-08-03,2017-08-10,-0.123,-12300000.0,STOP
pre,SIDEWAYS,2017-09-11,066970,엘앤에프,2017-09-19,2017-09-20,-0.063,-6300000.0,EARLY_FAIL_CLOSE
pre,BULL,2017-11-06,047920,씨트리,2017-11-14,2017-12-19,-0.123,-12300000.0,STOP
pre,BULL,2017-11-07,095610,테스,2017-11-15,2017-12-21,-0.123,-12300000.0,STOP
pre,BULL,2017-11-13,215600,신라젠,2017-11-21,2017-11-22,-0.063,-6300000.0,EARLY_FAIL_CLOSE
pre,BULL,2017-11-16,007390,네이처셀,2017-11-24,2017-12-08,0.31606614785992215,31606614.785992216,TRAIL
pre,BULL,2017-11-22,004130,대덕GDS,2017-11-30,2018-01-10,-0.123,-12300000.0,STOP
pre,SIDEWAYS,2018-01-03,263750,펄어비스,2018-01-11,2018-02-06,-0.123,-12300000.0,STOP
pre,SIDEWAYS,2018-01-05,065160,에프티이앤이,2018-01-15,2018-02-09,-0.021867924528301885,-2186792.4528301884,TRAIL
pre,SIDEWAYS,2018-01-08,039200,오스코텍,2018-01-16,2018-02-05,-0.123,-12300000.0,STOP
pre,BULL,2018-01-09,033110,이디,2018-01-17,2018-01-19,-0.063,-6300000.0,EARLY_FAIL_CLOSE
pre,BULL,2018-01-10,112040,위메이드,2018-01-18,2018-03-06,0.060316582914572855,6031658.291457285,MAX
pre,BULL,2018-01-15,141080,레고켐바이오,2018-01-23,2018-02-06,-0.123,-12300000.0,STOP
pre,BULL,2018-01-16,086890,이수앱지스,2018-01-24,2018-02-07,-0.05205660377358491,-5205660.3773584915,TRAIL
pre,BULL,2018-01-17,039200,오스코텍,2018-01-25,2018-02-05,-0.123,-12300000.0,STOP
pre,BULL,2018-01-18,086890,이수앱지스,2018-01-26,2018-01-31,-0.063,-6300000.0,EARLY_FAIL_CLOSE
pre,BULL,2018-01-23,014190,원익큐브,2018-01-31,2018-02-28,0.11314173228346457,11314173.228346456,TRAIL
pre,BULL,2018-01-26,144620,코오롱머티리얼,2018-02-05,2018-02-07,-0.063,-6300000.0,EARLY_FAIL_CLOSE
pre,BULL,2018-02-01,030790,동양네트웍스,2018-02-09,2018-03-26,0.22616666666666665,22616666.666666664,TRAIL
pre,SIDEWAYS,2018-03-13,007610,선도전기,2018-03-21,2018-04-24,0.0012857142857142859,128571.42857142858,TRAIL
pre,SIDEWAYS,2018-03-13,042660,대우조선해양,2018-03-21,2018-04-30,-0.123,-12300000.0,STOP
pre,SIDEWAYS,2018-03-14,069460,대호에이엘,2018-03-22,2018-03-23,-0.063,-6300000.0,EARLY_FAIL_CLOSE
pre,SIDEWAYS,2018-04-13,151910,나노스,2018-04-23,2018-05-08,-0.04095379537953796,-4095379.537953796,TRAIL
pre,BULL,2018-04-20,028300,에이치엘비,2018-04-30,2018-05-08,-0.123,-12300000.0,STOP
pre,BULL,2018-04-23,054340,피앤텔,2018-05-02,2018-05-14,-0.123,-12300000.0,STOP
pre,SIDEWAYS,2018-06-12,042000,카페24,2018-06-21,2018-06-26,-0.063,-6300000.0,EARLY_FAIL_CLOSE
pre,SIDEWAYS,2018-06-12,091580,상신이디피,2018-06-21,2018-08-02,0.004326007326007326,432600.7326007326,MAX
pre,BULL,2018-09-14,003670,포스코켐텍,2018-09-27,2018-10-11,-0.123,-12300000.0,STOP
pre,BULL,2018-09-18,230980,솔트웍스,2018-10-01,2018-10-11,-0.041461538461538466,-4146153.8461538465,TRAIL
pre,BULL,2018-12-04,950110,SBI핀테크솔루션즈,2018-12-12,2018-12-17,-0.063,-6300000.0,EARLY_FAIL_CLOSE
pre,BULL,2019-01-17,220180,핸디소프트,2019-01-25,2019-02-19,-0.123,-12300000.0,STOP
pre,BULL,2019-01-23,048470,대동스틸,2019-01-31,2019-02-20,-0.123,-12300000.0,STOP
pre,BULL,2019-02-14,182360,큐브엔터,2019-02-22,2019-02-27,-0.063,-6300000.0,EARLY_FAIL_CLOSE
pre,BULL,2019-02-14,032820,우리기술,2019-02-22,2019-02-28,-0.123,-12300000.0,STOP
pre,BEAR,2019-04-04,029960,코엔텍,2019-04-12,2019-05-28,0.024149321266968327,2414932.126696833,MAX
pre,BULL,2019-04-09,179900,유티아이,2019-04-17,2019-04-25,-0.01392896174863388,-1392896.174863388,TRAIL
pre,BULL,2019-04-11,043370,평화정공,2019-04-19,2019-04-26,-0.123,-12300000.0,STOP
pre,BULL,2019-04-16,179900,유티아이,2019-04-24,2019-04-25,-0.063,-6300000.0,EARLY_FAIL_CLOSE
pre,BEAR,2019-06-13,179900,유티아이,2019-06-21,2019-06-24,-0.063,-6300000.0,EARLY_FAIL_CLOSE
pre,BULL,2019-11-12,131760,파인텍,2019-11-20,2019-11-29,0.08790909090909091,8790909.090909092,TRAIL
pre,SIDEWAYS,2019-12-18,293780,압타바이오,2019-12-27,2020-01-15,-0.123,-12300000.0,STOP
pre,BULL,2020-01-09,089890,코세스,2020-01-17,2020-01-30,-0.123,-12300000.0,STOP
pre,BULL,2020-01-09,036200,유니셈,2020-01-17,2020-02-28,-0.123,-12300000.0,STOP
pre,SIDEWAYS,2020-02-07,026890,디피씨,2020-02-17,2020-02-19,-0.063,-6300000.0,EARLY_FAIL_CLOSE
pre,SIDEWAYS,2020-02-07,042700,한미반도체,2020-02-17,2020-02-28,-0.123,-12300000.0,STOP
pre,BULL,2020-02-17,064290,인텍플러스,2020-02-25,2020-02-28,-0.063,-6300000.0,EARLY_FAIL_CLOSE
pre,BULL,2020-02-18,083310,엘오티베큠,2020-02-26,2020-02-28,-0.063,-6300000.0,EARLY_FAIL_CLOSE
pre,BEAR,2020-04-16,290720,푸드나무,2020-04-24,2020-05-28,-0.123,-12300000.0,STOP
pre,BEAR,2020-04-17,053030,바이넥스,2020-04-27,2020-06-11,0.1568360655737705,15683606.55737705,MAX
pre,BEAR,2020-04-22,137400,피엔티,2020-05-04,2020-06-15,0.13894236926360726,13894236.926360726,TRAIL
pre,BULL,2020-05-06,068760,셀트리온제약,2020-05-14,2020-08-06,0.455133971291866,45513397.1291866,MAX
pre,BULL,2020-05-06,002320,한진,2020-05-14,2020-06-11,-0.04717670682730924,-4717670.682730924,TRAIL
pre,BULL,2020-05-08,183490,엔지켐생명과학,2020-05-18,2020-06-29,0.18304651162790697,18304651.162790697,MAX
pre,BULL,2020-05-12,032190,다우데이타,2020-05-20,2020-05-22,-0.063,-6300000.0,EARLY_FAIL_CLOSE
pre,BULL,2020-05-19,095700,제넥신,2020-05-27,2020-08-20,0.7153288409703504,71532884.09703505,MAX
pre,BULL,2020-05-20,001680,대상,2020-05-28,2020-07-09,0.08558267716535432,8558267.716535432,MAX
pre,BULL,2020-05-22,065370,위세아이텍,2020-06-01,2020-06-15,-0.123,-12300000.0,STOP
pre,BULL,2020-05-25,214450,파마리서치프로덕트,2020-06-02,2020-07-14,-0.012041591320072334,-1204159.1320072333,MAX
pre,BULL,2020-05-28,230360,에코마케팅,2020-06-05,2020-07-17,0.061558629776021084,6155862.977602108,MAX
pre,BULL,2020-06-11,148250,알엔투테크놀로지,2020-06-19,2020-07-20,-0.038000000000000006,-3800000.0000000005,TRAIL
pre,SIDEWAYS,2020-07-03,127120,디엔에이링크,2020-07-13,2020-08-24,1.7961137370753324,179611373.70753324,TRAIL
pre,SIDEWAYS,2020-07-06,063160,종근당바이오,2020-07-14,2020-07-16,-0.063,-6300000.0,EARLY_FAIL_CLOSE
pre,BULL,2020-07-10,033560,블루콤,2020-07-20,2020-07-23,-0.063,-6300000.0,EARLY_FAIL_CLOSE
pre,BULL,2020-07-13,009830,한화솔루션,2020-07-21,2020-09-21,0.5604920634920635,56049206.34920635,TRAIL
pre,BULL,2020-07-15,065680,우주일렉트로,2020-07-23,2020-08-05,-0.123,-12300000.0,STOP
pre,BULL,2020-07-16,000910,유니온,2020-07-24,2020-07-28,0.1276122448979592,12761224.48979592,TRAIL
pre,BULL,2020-07-20,298040,효성중공업,2020-07-28,2020-07-30,-0.063,-6300000.0,EARLY_FAIL_CLOSE
pre,BULL,2020-07-23,100090,삼강엠앤티,2020-07-31,2020-08-18,0.19393396226415094,19393396.226415094,TRAIL
pre,BULL,2020-07-24,045300,성우테크론,2020-08-03,2020-08-06,0.07392307692307692,7392307.692307692,TRAIL
pre,BULL,2020-07-27,036480,대성미생물,2020-08-04,2020-08-21,-0.123,-12300000.0,STOP
pre,BULL,2020-07-31,088800,에이스테크,2020-08-10,2020-09-22,0.023217228464419478,2321722.846441948,TRAIL
pre,BULL,2020-08-03,006120,SK디스커버리,2020-08-11,2020-08-18,-0.02765753424657534,-2765753.424657534,TRAIL
pre,BULL,2020-08-11,021080,에이티넘인베스트,2020-08-20,2020-09-10,-0.07238775510204082,-7238775.510204081,TRAIL
pre,BULL,2020-09-04,074600,원익QnC,2020-09-14,2020-10-15,-0.123,-12300000.0,STOP
pre,BULL,2020-09-11,278280,천보,2020-09-21,2020-09-23,-0.063,-6300000.0,EARLY_FAIL_CLOSE
pre,BULL,2020-09-11,074600,원익QnC,2020-09-21,2020-09-24,-0.063,-6300000.0,EARLY_FAIL_CLOSE
pre,SIDEWAYS,2020-10-13,001470,삼부토건,2020-10-21,2020-11-03,0.2558235294117647,25582352.941176474,TRAIL
pre,SIDEWAYS,2020-10-13,104620,노랑풍선,2020-10-21,2020-12-23,0.07504878048780488,7504878.048780488,TRAIL
pre,BEAR,2020-11-05,033240,자화전자,2020-11-13,2021-02-10,0.3347049180327869,33470491.803278692,MAX
pre,BEAR,2020-11-10,004270,남성,2020-11-18,2020-12-24,-0.03174251497005988,-3174251.497005988,TRAIL
pre,BEAR,2020-11-10,105840,우진,2020-11-18,2020-12-02,-0.123,-12300000.0,STOP
pre,BULL,2020-11-11,030790,비케이탑스,2020-11-19,2020-11-30,0.8584457831325302,85844578.31325302,TRAIL
pre,BULL,2020-11-24,013720,청보산업,2020-12-02,2020-12-07,-0.063,-6300000.0,EARLY_FAIL_CLOSE
pre,BULL,2020-11-30,023960,에쓰씨엔지니어링,2020-12-08,2020-12-16,0.5342750642673522,53427506.426735215,TRAIL
pre,BULL,2020-12-02,066970,엘앤에프,2020-12-10,2021-02-23,0.3135735567970205,31357355.679702047,TRAIL
pre,BULL,2020-12-02,001230,동국제강,2020-12-10,2021-01-26,0.10625449871465295,10625449.871465296,MAX
pre,BULL,2020-12-03,307950,현대오토에버,2020-12-11,2021-01-15,0.25962626262626265,25962626.262626264,TRAIL
pre,BULL,2020-12-16,012860,모베이스전자,2020-12-24,2021-01-22,0.25721505376344084,25721505.376344085,TRAIL
pre,BULL,2020-12-21,001120,LG상사,2020-12-30,2021-02-16,0.10742944785276073,10742944.785276074,MAX
pre,BULL,2020-12-23,001530,DI동일,2021-01-05,2021-02-18,0.16046153846153846,16046153.846153846,MAX
pre,BULL,2020-12-23,244460,올리패스,2021-01-05,2021-01-11,-0.123,-12300000.0,STOP
pre,BULL,2021-01-04,044060,조광ILI,2021-01-12,2021-01-13,-0.063,-6300000.0,EARLY_FAIL_CLOSE
pre,BULL,2021-01-11,034300,신세계건설,2021-01-19,2021-01-22,-0.063,-6300000.0,EARLY_FAIL_CLOSE
pre,BULL,2021-01-13,160980,싸이맥스,2021-01-21,2021-03-05,-0.123,-12300000.0,STOP
pre,BULL,2021-01-14,084730,팅크웨어,2021-01-22,2021-02-01,-0.123,-12300000.0,STOP
pre,BULL,2021-01-25,036930,주성엔지니어링,2021-02-02,2021-03-19,0.04601960784313725,4601960.784313725,MAX
pre,SIDEWAYS,2021-03-17,267270,현대건설기계,2021-03-25,2021-06-10,0.04868986083499006,4868986.083499006,TRAIL
pre,SIDEWAYS,2021-03-26,246690,TS인베스트먼트,2021-04-05,2021-04-12,-0.123,-12300000.0,STOP
pre,SIDEWAYS,2021-03-30,185490,아이진,2021-04-07,2021-04-13,0.10212129380053908,10212129.380053908,TRAIL
pre,BULL,2021-04-12,084370,유진테크,2021-04-20,2021-05-04,-0.123,-12300000.0,STOP
