scope,variant,period,regime,signal_date,asset_code,asset_name,exchange,entry_check_date,entry_date,exit_date,ret,pnl_krw,reason,sig_range20,sig_ret60,sig_ma60_dist,entry_candle_loc,entry_upper_shadow,entry_body_ret,entry_ma20_dist,entry_vol_exp,entry_trade_amount,next_body_ret,close_5d,max_5d,min_5d,close_10d,max_10d,min_10d,close_20d,max_20d,min_20d,close_60d,max_60d,min_60d
KOSPI,KOSPI_BULL_V4_AP06_SCOPE_BASELINE,pre,BULL,2020-12-02,001230,동국제강,KOSPI,2020-12-09,2020-12-10,2021-01-26,0.10625449871465295,10625449.871465296,MAX,0.27916120576671033,0.22275641025641027,0.14156048175946942,0.9333333333333333,0.06666666666666667,0.07660738714090287,0.056021469305602145,1.0050536466053983,16637117040.0,0.011568123393316195,0.03470437017994859,0.04498714652956298,-0.014138817480719794,0.0012853470437017994,0.07197943444730077,-0.017994858611825194,0.14781491002570693,0.22879177377892032,-0.019280205655526992,0.33033419023136246,0.37532133676092544,-0.038560411311053984
KOSPI,KOSPI_BULL_V4_AP06_SCOPE_BASELINE,pre,BULL,2020-12-03,307950,현대오토에버,KOSPI,2020-12-10,2020-12-11,2021-01-15,0.25962626262626265,25962626.262626264,TRAIL,0.3158458244111349,1.1227272727272728,0.3841992812241421,1.0,0.0,0.06371490280777538,0.15691801738313366,1.2694022879599516,30906542000.0,0.030303030303030304,0.22727272727272727,0.4090909090909091,-0.00909090909090909,0.16666666666666666,0.4090909090909091,-0.00909090909090909,0.30808080808080807,0.6313131313131313,-0.00909090909090909,0.2222222222222222,0.6313131313131313,-0.00909090909090909
KOSPI,KOSPI_BULL_V4_AP06_SCOPE_BASELINE,pre,BULL,2020-12-21,001120,LG상사,KOSPI,2020-12-29,2020-12-30,2021-02-16,0.10742944785276073,10742944.785276074,MAX,0.35671342685370744,0.589171974522293,0.3737725979627419,1.0,0.0,0.016632016632016633,0.06373721992603872,0.3993910334636641,7531895850.0,0.010224948875255624,0.11451942740286299,0.18200408997955012,-0.002044989775051125,0.08997955010224949,0.18200408997955012,-0.002044989775051125,0.07975460122699386,0.19427402862985685,-0.002044989775051125,0.3047034764826176,0.34355828220858897,-0.002044989775051125
KOSPI,KOSPI_BULL_V4_AP06_SCOPE_BASELINE,pre,BULL,2020-12-23,001530,DI동일,KOSPI,2021-01-04,2021-01-05,2021-02-18,0.16046153846153846,16046153.846153846,MAX,0.3511450381679389,0.5197215777262181,0.4134656883901597,1.0,0.0,0.03666666666666667,0.2923332640764596,0.8326428838105189,5774181500.0,0.057692307692307696,0.041666666666666664,0.18269230769230768,-0.022435897435897436,0.08653846153846154,0.18269230769230768,-0.022435897435897436,0.20512820512820512,0.4423076923076923,-0.022435897435897436,0.08653846153846154,0.4423076923076923,-0.13141025641025642
KOSPI,KOSPI_BULL_V4_AP06_SCOPE_BASELINE,pre,BULL,2021-01-11,034300,신세계건설,KOSPI,2021-01-18,2021-01-19,2021-01-22,-0.063,-6300000.0,EARLY_FAIL_CLOSE,0.2956381260096931,0.4036281179138322,0.30466856359995786,1.0,0.0,0.2430379746835443,0.6347594473114699,4.102655335976728,61992923500.0,0.10185185185185185,-0.1,0.16111111111111112,-0.10648148148148148,-0.07407407407407407,0.16111111111111112,-0.18796296296296297,-0.1111111111111111,0.16111111111111112,-0.18796296296296297,-0.10833333333333334,0.16111111111111112,-0.2462962962962963
KOSPI,KOSPI_BULL_V4_AP06_SCOPE_BASELINE,pre,BULL,2021-03-17,267270,현대건설기계,KOSPI,2021-03-24,2021-03-25,2021-06-10,0.04868986083499006,4868986.083499006,TRAIL,0.3703339882121807,0.43582510578279265,0.38371618866385754,0.9344262295081968,0.06557377049180328,0.05747126436781609,0.17251766886803382,0.8376618728303759,24572574400.0,0.03777335984095427,0.03578528827037773,0.14314115308151093,-0.017892644135188866,0.0536779324055666,0.14314115308151093,-0.017892644135188866,0.13518886679920478,0.16302186878727634,-0.02584493041749503,0.10934393638170974,0.3558648111332008,-0.02584493041749503
KOSPI,KOSPI_BULL_V4_AP06_SCOPE_BASELINE,pre,BULL,2021-06-18,000680,LS네트웍스,KOSPI,2021-06-25,2021-06-28,2021-07-07,0.07027586206896551,7027586.206896551,TRAIL,0.35900783289817234,0.34385964912280703,0.20813837337679414,1.0,0.0,0.2874493927125506,0.23319544984488108,13.686462432896993,121085143020.0,0.1875,0.09698275862068965,0.35560344827586204,-0.0021551724137931034,0.05387931034482758,0.35560344827586204,-0.0021551724137931034,-0.08189655172413793,0.35560344827586204,-0.09159482758620689,-0.16702586206896552,0.35560344827586204,-0.23060344827586207
KOSPI,KOSPI_BULL_V4_AP06_SCOPE_BASELINE,pre,BULL,2021-09-06,138490,코오롱플라스틱,KOSPI,2021-09-13,2021-09-14,2021-10-06,0.32641176470588235,32641176.470588233,TRAIL,0.36847290640394087,0.5567484662576687,0.32986854173035773,1.0,0.0,0.06719367588932806,0.5306122448979592,0.5292047263890053,32754010500.0,0.011764705882352941,0.29411764705882354,0.37254901960784315,-0.07450980392156863,0.6509803921568628,0.8666666666666667,-0.07450980392156863,0.49019607843137253,0.8666666666666667,-0.07450980392156863,-0.03137254901960784,0.8666666666666667,-0.07450980392156863
KOSPI,KOSPI_BULL_V4_AP06_SCOPE_BASELINE,train,BULL,2022-11-14,004360,세방,KOSPI,2022-11-21,2022-11-22,2023-02-17,1.095434004474273,109543400.4474273,MAX,0.2645631067961165,0.5725190839694656,0.34377038486627526,0.9736842105263158,0.02631578947368421,0.0585480093676815,0.20021242697822622,1.7457500614073507,9147530800.0,0.08277404921700224,0.1342281879194631,0.203579418344519,-0.0022371364653243847,0.319910514541387,0.44966442953020136,-0.0022371364653243847,0.24161073825503357,0.44966442953020136,-0.0022371364653243847,1.0984340044742729,1.366890380313199,-0.0022371364653243847
KOSPI,KOSPI_BULL_V4_AP06_SCOPE_BASELINE,train,BULL,2023-01-20,003530,한화투자증권,KOSPI,2023-01-31,2023-02-01,2023-03-03,-0.123,-12300000.0,STOP,0.3060556464811784,0.22690763052208834,0.17466115543593194,0.9512195121951219,0.04878048780487805,0.05188679245283019,0.1843852350181464,1.214713106986955,9934084695.0,0.10463378176382661,-0.01943198804185351,0.16741405082212257,-0.06726457399103139,-0.08669656203288491,0.16741405082212257,-0.09267563527653214,-0.08968609865470852,0.16741405082212257,-0.10164424514200299,-0.18385650224215247,0.16741405082212257,-0.21973094170403587
