trade_date,regime,confidence,risk_budget,allowed_strategy,bull_score,bear_score,stress_score,breadth_ma20,breadth_ma60,volatility_20,liquidity_trend,kospi_close,kospi_ma20,kospi_ma60,kosdaq_close,kosdaq_ma20,kosdaq_ma60
2012-07-23,BEAR,0.6,0.2,W4_RECOVER,1,6,4,0.2663129973474801,0.3702917771883289,0.010895920466566216,-0.07697796523245715,1789.44,1829.825,1863.2431666666669,472.24,486.854,478.26950000000005
2012-07-24,BEAR,0.5,0.2,W4_RECOVER,2,5,4,0.23814597762386788,0.34310069259456577,0.010894374871663875,0.00449438889982301,1793.93,1828.631,1860.408,468.28,486.05099999999993,478.1305
2012-07-25,BEAR,0.6,0.2,W4_RECOVER,1,6,4,0.17572559366754617,0.28812664907651714,0.01128021106392151,-0.05836879655569116,1769.31,1826.214,1856.9739999999997,454.72,484.63550000000004,477.72450000000003
2012-07-26,BEAR,0.6,0.2,W4_RECOVER,1,6,4,0.19936541512427286,0.29719725013220516,0.011440988142070256,-0.08983314941468967,1782.47,1824.3785,1853.6486666666667,457.86,483.233,477.374
2012-07-27,BEAR,0.5,0.2,W4_RECOVER,3,5,3,0.25,0.3442796610169492,0.012177595820325996,0.033884212128510116,1829.16,1823.136,1850.8168333333333,464.72,482.0110000000001,477.027
2012-07-30,BEAR,0.6,0.2,W4_RECOVER,2,6,2,0.26478423015450187,0.3590836441129462,0.012326345817344535,-0.1445705724036379,1843.79,1822.743,1848.2948333333334,465.46,480.7625,476.66066666666666
2012-07-31,SIDEWAYS,0.55,0.5,W4_RESTRICT,4,4,2,0.3268008474576271,0.3967161016949153,0.01305052072719957,0.20000156186934537,1881.99,1823.4515,1846.5088333333333,467.61,479.44750000000005,476.27866666666665
2012-08-01,BEAR,0.5,0.2,W4_RECOVER,3,5,2,0.3390101117615753,0.40393826503459285,0.013033937213660663,-0.14206647375449577,1879.93,1823.7254999999998,1845.2336666666667,468.53,478.0835,475.9706666666667
2012-08-02,SIDEWAYS,0.55,0.5,W4_RESTRICT,3,4,2,0.3524720893141946,0.39872408293460926,0.013098307711721173,-0.19440538426249088,1869.4,1823.4209999999998,1843.6068333333335,466.63,476.54799999999994,475.5045
2012-08-03,BEAR,0.5,0.2,W4_RECOVER,3,5,2,0.33103081827842723,0.3937300743889479,0.01317320259129209,-0.15644230989839758,1848.68,1822.9450000000002,1841.9133333333334,465.28,474.9515,475.0665
2012-08-06,SIDEWAYS,0.6,0.5,W4_RESTRICT,4,3,1,0.42032821598729486,0.43462149285336155,0.013612977880989535,-0.03699919950565833,1885.88,1825.4325000000001,1840.9291666666666,469.61,473.6705,474.6555
2012-08-07,SIDEWAYS,0.6,0.5,W4_RESTRICT,4,3,1,0.4820485744456177,0.4614572333685322,0.013563376660665316,-0.14259044022117695,1886.8,1828.3,1840.4236666666666,471.6,472.6335,474.28783333333337
2012-08-08,SIDEWAYS,0.6,0.5,W4_RESTRICT,5,2,1,0.5365466101694916,0.4920550847457627,0.01362872909981361,0.2214389258680205,1903.23,1832.1420000000003,1840.2486666666666,471.42,471.608,474.00266666666664
2012-08-09,BULL,0.6,1.0,W4_BREAKOUT,8,1,0,0.5926121372031662,0.5340369393139842,0.012857427662267589,0.39099546153659626,1940.59,1839.902,1840.9425,474.05,470.9915000000001,473.8951666666666
2012-08-10,BULL,0.5,1.0,W4_BREAKOUT,7,2,0,0.6213643574828134,0.5547329455314648,0.012587726519587394,-0.020077835654327858,1946.4,1846.5775,1842.7069999999999,475.51,470.55099999999993,474.07016666666664
2012-08-13,BULL,0.5,1.0,W4_BREAKOUT,7,2,0,0.6643763213530656,0.5702959830866807,0.012817757241811082,-0.1906980025356637,1932.44,1852.3100000000002,1844.1603333333335,478.4,470.296,474.24133333333333
2012-08-14,BULL,0.6,1.0,W4_BREAKOUT,8,1,0,0.706441393875396,0.5786694825765576,0.012991192117221901,0.0071786629917860445,1956.96,1859.0600000000002,1847.0686666666666,480.74,470.30250000000007,474.7756666666666
2012-08-16,BULL,0.6,1.0,W4_BREAKOUT,8,1,0,0.7092348284960422,0.5905013192612137,0.012274215202791035,0.03188263196987884,1957.91,1867.2099999999998,1849.715,485.32,470.92449999999997,475.3828333333333
2012-08-17,BULL,0.7,1.0,W4_BREAKOUT,9,0,0,0.7096944151738672,0.5911485774499473,0.012180181336734375,0.16329587174669635,1946.54,1873.389,1851.6791666666666,487.26,471.3535,475.813
2012-08-20,BULL,0.7,1.0,W4_BREAKOUT,9,0,0,0.7052910052910053,0.5941798941798941,0.01218168414956466,0.017755335574572317,1946.31,1879.5580000000002,1853.974,490.13,471.76849999999996,476.3835
2012-08-21,BULL,0.7,1.0,W4_BREAKOUT,9,0,0,0.7191780821917808,0.5974710221285564,0.011140123381942096,0.02850381082775022,1943.22,1887.2469999999998,1856.1198333333334,491.72,472.7425,476.9835
2012-08-22,BULL,0.7,1.0,W4_BREAKOUT,9,0,0,0.6945031712473573,0.5930232558139535,0.011290808204981545,0.08487576443282951,1935.19,1894.31,1857.9701666666667,492.89,473.97300000000007,477.4916666666667
2012-08-23,BULL,0.7,1.0,W4_BREAKOUT,9,0,0,0.6975763962065332,0.5995785036880927,0.010507435648571787,0.15721313735844866,1942.54,1902.9715,1859.514,499.34,476.204,477.9803333333333
2012-08-24,BULL,0.7,1.0,W4_BREAKOUT,9,0,0,0.6347780126849895,0.5776955602536998,0.011102816219522667,0.1554917909482545,1919.81,1909.8384999999998,1860.7631666666666,497.51,478.1865000000001,478.44516666666664
2012-08-27,BULL,0.7,1.0,W4_BREAKOUT,9,0,0,0.5730870712401055,0.5546174142480211,0.009802080516060475,0.3953694030914958,1917.87,1914.2740000000001,1862.0031666666666,493.83,479.642,478.81
2012-08-28,BULL,0.6,1.0,W4_BREAKOUT,8,0,1,0.5803900896151819,0.5740643120716922,0.009735620949973767,0.15031840011443265,1916.33,1917.9010000000003,1863.3668333333333,499.53,481.3455,479.26666666666665
2012-08-29,BULL,0.7,1.0,W4_BREAKOUT,9,0,0,0.6182965299684543,0.5946372239747634,0.0087618320390681,0.24090468217259198,1928.54,1920.2285000000004,1865.7903333333334,505.32,483.23099999999994,480.17466666666667
2012-08-30,BULL,0.6,1.0,W4_BREAKOUT,8,0,1,0.581187598528639,0.58066211245402,0.009205907367005075,0.22688518360276144,1906.38,1921.5510000000002,1867.5325,505.64,485.0865,480.99066666666664
2012-08-31,BULL,0.6,1.0,W4_BREAKOUT,8,0,1,0.595778364116095,0.5968337730870712,0.009092412668708333,0.0828693536982481,1905.12,1923.3370000000002,1868.4853333333335,508.35,487.1725,481.69350000000003
2012-09-03,BULL,0.6,1.0,W4_BREAKOUT,8,0,1,0.5978947368421053,0.5978947368421053,0.008653344282414656,0.056460683505680676,1912.71,1926.5385,1869.7698333333333,512.45,489.53099999999995,482.5345
2012-09-04,BULL,0.6,1.0,W4_BREAKOUT,8,0,1,0.5796111403047819,0.6022070415133999,0.007539120937643289,0.15909891469698123,1907.13,1927.6009999999999,1870.4379999999999,507.41,491.421,483.1648333333333
2012-09-05,BULL,0.5,1.0,W4_BREAKOUT,7,0,1,0.5316789862724393,0.5723336853220697,0.008540794035089096,0.0261734967910634,1874.03,1926.9625,1870.7595000000001,505.39,493.11050000000006,483.7218333333333
