variant,tier,period,signal_date,asset_code,asset_name,entry_date,exit_date,ret,reason,rel_ret60
no_regime_t,bull,pre,2013-09-26,029480,케이디씨,2013-10-07,2013-10-17,0.1252608695652174,TRAIL,0.28209358832621345
no_regime_t,bear,pre,2014-03-10,032350,롯데관광개발,2014-03-18,2014-04-03,0.14503625377643503,TRAIL,0.32732346071637697
no_regime_t,mixed,pre,2014-05-29,091090,세원셀론텍,2014-06-10,2014-07-29,-0.030696793002915453,MAX,0.29749295517792995
no_regime_t,mixed,pre,2014-09-12,024720,한국콜마홀딩스,2014-09-22,2014-11-12,0.27616666666666667,MAX,0.5930122789953284
no_regime_t,bull,pre,2014-12-09,900070,글로벌에스엠,2014-12-18,2014-12-19,-0.063,EARLY_FAIL,0.36926920283112136
no_regime_t,bull,pre,2015-01-09,005110,한창,2015-01-19,2015-01-29,0.4742727272727273,TRAIL,1.45551004784013
no_regime_t,bull,pre,2015-02-06,028300,에이치엘비,2015-02-16,2015-03-05,-0.123,STOP,0.5944537689954211
no_regime_t,bull,pre,2015-03-25,099830,씨그널정보통신,2015-04-02,2015-04-17,0.44177611940298506,TRAIL,1.454384352972773
no_regime_t,bull,pre,2015-04-29,049720,고려신용정보,2015-05-11,2015-05-29,-0.123,STOP,1.3485594456740644
no_regime_t,bear,pre,2015-07-06,004830,덕성,2015-07-14,2015-07-28,-0.10300000000000001,STOP,3.653381959215123
no_regime_t,bear,pre,2015-08-03,016450,한세예스24홀딩스,2015-08-11,2015-09-04,-0.0377985347985348,TRAIL,0.5873679090173352
no_regime_t,bear,pre,2016-02-22,048530,인트론바이오,2016-03-02,2016-03-23,-0.10300000000000001,STOP,0.2687129729034617
no_regime_t,bear,pre,2016-06-20,093240,형지엘리트,2016-06-28,2016-06-29,-0.0019648033126293996,TRAIL,2.2457522696068652
no_regime_t,mixed,pre,2016-08-23,014910,성문전자,2016-08-31,2016-09-12,0.13153815261044177,TRAIL,0.3820647199659678
no_regime_t,bull,pre,2016-09-23,137940,넥스트아이,2016-10-04,2016-10-28,-0.123,STOP,0.5425160660407056
no_regime_t,bull,pre,2016-12-12,025820,이구산업,2016-12-20,2017-02-03,0.15268862275449102,MAX,0.30921075405707427
no_regime_t,mixed,pre,2017-02-09,083650,비에이치아이,2017-02-17,2017-04-10,0.016639934533551556,MAX,0.5436250957867398
no_regime_t,bear,pre,2017-09-27,068270,셀트리온,2017-10-13,2017-10-19,0.10096975425330812,TRAIL,0.3248630785717382
